gmovie,gdate,gaudience,ggenre,gopendate,gdirec,gactor,gmovie_id
인생은 아름다워,2022-10-26,13654,뮤지컬,2022-09-28,최국희,"류승룡,염정아,박세완,옹성우,심달기,정현정,하현상,김다인,유순웅,이세령,김민체,조승연,조수지,변진수,문정대,박경근,김호준,정영섭,박경찬,황정윤,한이진,김영준,남성호,이희규,김진아,전무송,박영규,김혜옥,신신애,김종수,고창석,염혜란,김선영,류현경",인생은 아름다워뮤지컬최국희
어벤져스: 에이지 오브 울트론,2022-10-26,1,"액션,어드벤처,판타지,SF",2015-04-23,조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애론 테일러 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현","어벤져스: 에이지 오브 울트론액션,어드벤처,판타지,SF조스 웨던"
말아,2022-10-26,7,드라마,2022-08-25,곽민승,"심달기,정은경,우효원,정의순,손석배,유연석,이준섭,박예진,정미경,이보림,윤범식,곽민승,송자희,정은미,곽진영,김미경,김인숙,김수진,서은영,곽민승,배유리",말아드라마곽민승
썬더버드,2022-10-26,2,드라마,2022-09-21,이재원,"서현우,이명로,이설,박승태,김규백,최은아,안일권,윤성원,박찬규,정세환,이정철,이미은,전성아,최경준,황보정일,김선동,주혁,손화영,정종열,박상규,장준휘",썬더버드드라마이재원
탑건: 매버릭,2022-10-26,2164,액션,2022-06-22,조셉 코신스키,"톰 크루즈,마일즈 텔러,제니퍼 코넬리,존 햄,에드 해리스,글렌 포웰,제이 엘리스,그렉 타잔 데이비스,찰스 파렐,장 루이자 켈리,대니 라미레즈",탑건: 매버릭액션조셉 코신스키
태일이,2022-10-26,120,애니메이션,2021-12-01,홍준표,"장동윤,염혜란,진선규,박철민,권해효,태인호,정예진,신정윤,안동구,강태우,이나영,최병윤,이원준,윤정열,김정팔,최은화,진양욱,이승행,강태우",태일이애니메이션홍준표
너의 이름은.,2022-10-26,23,"애니메이션,드라마,멜로/로맨스",2017-01-04,신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논","너의 이름은.애니메이션,드라마,멜로/로맨스신카이 마코토"
몽마르트 파파,2022-10-26,48,다큐멘터리,2020-01-09,민병우,"민형식,이운숙,민병우,서보경,오기환,김은섭,김영세,김정애,김진수,박준현,김진순,이인기,이춘수,김광재,김무현,김재규,최은지",몽마르트 파파다큐멘터리민병우
캡틴 아메리카: 시빌 워,2022-10-26,5,"액션,SF,스릴러",2016-04-27,"안소니 루소,조 루소","크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너,톰 홀랜드","캡틴 아메리카: 시빌 워액션,SF,스릴러안소니 루소,조 루소"
극장판 주술회전 0,2022-10-26,84,애니메이션,2022-02-17,박성후,"오가타 메구미,하나자와 카나,코마츠 미카코,우치야마 코우키,세키 토모카즈,나카무라 유이치,사쿠라이 타카히로",극장판 주술회전 0애니메이션박성후
극장판 헬로카봇: 수상한 마술단의 비밀,2022-10-26,85,애니메이션,2022-09-28,"최신규,이슬기,정승원","이지현,조경이,김용준,양정화,조경이,엄상현,홍범기,사문영,송준석,이정구,이장원,강시현,이현,원에스더","극장판 헬로카봇: 수상한 마술단의 비밀애니메이션최신규,이슬기,정승원"
고고다이노 극장판: 얼음공룡의 비밀,2022-10-26,37,애니메이션,2022-10-05,이선명,"이민규,전태열,김은아,엄상현,성완경,신용우,홍범기,김율,남도형,김명준,천지선,김채하,이영아,최향윤",고고다이노 극장판: 얼음공룡의 비밀애니메이션이선명
주연,2022-10-26,1,"드라마,미스터리",2022-09-29,송원준,"민도희,김대건,오민애,이종윤,손용범,박재민,길해연,장준현,박서은,이동기,정애화,장준휘,김휘규,윤설","주연드라마,미스터리송원준"
씽2게더,2022-10-26,48,애니메이션,2022-01-05,가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,토리 켈리,할시,퍼렐 윌리엄스,보노",씽2게더애니메이션가스 제닝스
거래완료,2022-10-26,48,드라마,2022-10-06,조경호,"전석호,태인호,조성하,이원종,김민엽,임승민,최예빈,최희진,채서은,이규현,엄서현,이교형,권일",거래완료드라마조경호
극장판 5등분의 신부,2022-10-26,68,"애니메이션,드라마",2022-09-22,진보 마사토,"마츠오카 요시츠구,하나자와 카나,타케타츠 아야나,이토 미쿠,사쿠라 아야네,미나세 이노리","극장판 5등분의 신부애니메이션,드라마진보 마사토"
블랙 아담,2022-10-26,28782,"액션,어드벤처,SF",2022-10-19,자움 콜렛 세라,"드웨인 존슨,노아 센티네오,피어스 브로스넌,퀸테사 스윈들,알디스 호지,사라 샤이","블랙 아담액션,어드벤처,SF자움 콜렛 세라"
어벤져스,2022-10-26,10,"액션,SF",2012-04-26,조스 웨던,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너","어벤져스액션,SF조스 웨던"
스마일,2022-10-26,1149,"미스터리,공포(호러)",2022-10-06,파커 핀,"소지 베이컨,제시 어셔,카일 갈너,케이틀린 스테이시,칼 펜,롭 모건","스마일미스터리,공포(호러)파커 핀"
