리뷰번호,영화제목,리뷰내용,리뷰별점,총점,리뷰작성일자
18514170,에브리씽 에브리웨어 올 앳 원스,['선을 좀 지키는 덕은 어디?'],6,10,22.10.28
18514169,리멤버,['이성민배우 정말 연기 최고입니다! 가슴 한 편이 먹먹해지는 영화네요 '],10,10,22.10.28
18514168,블랙 아담,['마블이 너무 바닥을쳐서 인지 DC좋은데요?? 재미납니다 영상미중에서도 색감이 아주좋네요 '],10,10,22.10.28
18514167,자백,[''],10,10,22.10.28
18514166,인생은 아름다워,['자연스럽게 웃겼다 울였다…재미있고 감동적으로 봤어요추억 소환되는 하루 였네요'],10,10,22.10.28
18514165,리멤버,['오늘 영화 보고 왔는데 너무나 감동적이고 우리가꼭 봐야 할 영화인 것 같습니다 .너무 잘 보았습니다. 특히 이성민 배우님 연기 정말 정말 최고입니다'],10,10,22.10.28
18514164,죽어도 자이언츠,['골수 롯데팬이라면 웃으면서 볼 수 있는 영화였습니다.하지만 들쑥날쑥한 편집은 갓 입문한 팬들이 보기에는 이해하기 어렵고 지루하게 느껴질 수 있는 부분이었습니다. 그리고 개성고 10번 선수에 대한 시간이 많이 할애되어 전반적인 영화 집중력을 흐리는 요소였던 것 같습니다. 기대를 하지 않고 봐서 그런지 나름 괜찮았습니다 '],7,10,22.10.28
18514163,에브리씽 에브리웨어 올 앳 원스,['작품이다.. 미디어 아트...'],10,10,22.10.28
18514162,외계+인 1부,['웨이브에서 결제 하려고 망설이던 중 비슷한영화 목록에 성량팔이소녀의 재림이 뜨네요. 식겁했습니다.'],2,10,22.10.28
18514161,블랙 아담,['아쉬운부분이있지만 다음편의 기대를 하게 하네요'],8,10,22.10.28
18514160,늑대사냥,['보다가 도저히 현실성도 없고 어울리지도 않고... 특히  범죄자들이 사람 다 죽인거 확실한데 경찰들이 총들고 위협사격만 하면서 욕만하는거 너무 웃긴다.  너무 수준 떨어진다.  시간이 아무리 많이 남아도 이거 보면 시간 아까움.  '],1,10,22.10.28
18514159,리멤버,['오랜만에 천만영화 나오겠네요~'],10,10,22.10.28
18514160,늑대사냥,['보다가 도저히 현실성도 없고 어울리지도 않고... 특히  범죄자들이 사람 다 죽인거 확실한데 경찰들이 총들고 위협사격만 하면서 욕만하는거 너무 웃긴다.  너무 수준 떨어진다.  시간이 아무리 많이 남아도 이거 보면 시간 아까움.  '],1,10,22.10.28
18514159,리멤버,['오랜만에 천만영화 나오겠네요~'],10,10,22.10.28
18514158,블랙 아담,['미이라 느낌 남 액션도 화끈하고 근데 빌런이 좀 약하긴 했음 ㅋ'],7,10,22.10.28
18514157,인천상륙작전,"['묵직한 메세지북한군 치하 남한의 실상을 보여주고우리 조국을 지킨 용사들의 이야기는 좋았다.CG, 연출, 로맨스, 가 가란말이야전투씬 연출로 인해 8점 드립니다.']",8,10,22.10.28
18514156,인천상륙작전,"['묵직한 메세지북한군 치하 남한의 실상을 보여주고우리 조국을 지킨 용사들의 이야기는 좋았다.CG, 연출, 로맨스, 가 가란말이야전투씬 연출로 인해 8점 드립니다.']",8,10,22.10.28
18514155,20세기 소녀,['그시절 사람이라 참 재밌게 심장 간질간질하게 봤는데.. 끝이 참.... 나름 여운이ㅜㅜ'],10,10,22.10.28
18514154,리멤버,"['긴장감이 진짜 엄청나네요. 개인적으로 마지막에 주인공이 자살을 했다면 어땠을까 하는 생각이 드네요. 영화에서는 자살이 도피라고 말했는데, 오히려 법의 심판을 받는게 도피인게 아닌가 하는 생각이 드네요. ']",10,10,22.10.28
18514153,리멤버,['돈주고 봐도 아깝지않은 영화입니다!'],10,10,22.10.28
18514152,라이터를 켜라,['병맛 코미디영화로 초반과 다르게 갈수록 지루해지는 아쉬움이..'],5,10,22.10.28
18514151,리멤버,['남주혁의 또다른 연기 미쳤..0'],10,10,22.10.28
18514150,늑대사냥,['딱 적당히 잔인하고 전개가 빨라 좋았던 영화 연기는 믿고 보는 배우님들이고 이 스토리로 시리즈까지 내줬으면 ..!! 떡밥들이 너무 많아 n회차 관람했더니 디테일들을 확실하게 볼 수 있었습니다 ㅎㅎ '],10,10,22.10.28
18514149,클루리스,['30년전 영화라 좀 그럴줄 알았는데 전혀 옛날 영화 같지가 않고 지금봐도 톡톡튀고 상큼하고 재밌네 알리시아 너무 이쁘다'],8,10,22.10.28
18514148,프로메어,['&amp;#34;그렌라간 2&amp;#34;'],8,10,22.10.28
18514147,자백,['보는내내 호기심 넘쳤던 영화. 재밌게 봣어요'],10,10,22.10.28
18514146,늑대사냥,['신교대간지 일주일도 못버티고 나가서5급받은애가 피지컬키우고 앤션씬 잘찍네참고로5급수준이면 한군데가 아예고자수준이여야함 잔인한데 걍 서인웃 웃겨서봄 '],2,10,22.10.28
18514145,20세기 소녀,['근데 왜 죽은거임? 클리셰 덩어리'],8,10,22.10.28
18514144,20세기 소녀,['유치할수있는데 오랜만의 이런 몽글한 청춘영화 좋다'],10,10,22.10.28
18514143,아이 캔 스피크,['제가 이제훈 찐팬이라 극장에서 봤는데 정말 재밌게 봤어요 찡한 감동은 덤~~~~ 왕추천합니다 '],10,10,22.10.28
18514142,20세기 소녀,['넘 재밌게 보고 있는데...마지막 뭐아..ㅠ'],10,10,22.10.28
18514141,20세기 소녀,['연기와 연출과 음악이 그리고 영상미가 뻔할 수 있는 청춘 멜로 영화를 걸작으로 만들었습니다. 뻔하면 좀 어떤가요. 감동을 받았다는 게 중요하죠.'],10,10,22.10.28
18514140,늑대사냥,"['집에서 킬링타임용으로 괜찮음. 근데 효과음이 좀 심각하긴 함; 이정도면 그냥 옥동자가 입으로하는 게... 그리고 전소민, 서인국 역 되게 뭐 엄청난거 있을 것 처럼 해놓고 너무 허무하게 ㅋㅋㅋㅋ 그나저나 장동윤 비 맞는 신에서 살인의 추억에서의 박해일 닮음 ']",6,10,22.10.28
